date,P,G,L
01-Aug-2022 00:00:00,14.37,7.42,14999
01-Aug-2022 00:05:00,14.34,7.42,14947
01-Aug-2022 00:10:00,14.33,7.42,14813
01-Aug-2022 00:15:00,14.32,7.42,14892
01-Aug-2022 00:20:00,14.32,7.42,14846
01-Aug-2022 00:25:00,6.02,7.42,14757
01-Aug-2022 00:30:00,6.01,7.42,14676
01-Aug-2022 00:35:00,5.88,7.42,14635
01-Aug-2022 00:40:00,5.63,7.42,14506
01-Aug-2022 00:45:00,0,7.42,14441
01-Aug-2022 00:50:00,0,7.42,14381
01-Aug-2022 00:55:00,0,7.42,14288
01-Aug-2022 01:00:00,10.65,7.42,14261
01-Aug-2022 01:05:00,7.24,7.42,14295
01-Aug-2022 01:10:00,7.33,7.42,14232
01-Aug-2022 01:15:00,5.88,7.42,14183
01-Aug-2022 01:20:00,5.88,7.42,14141
01-Aug-2022 01:25:00,5.64,7.42,14026
01-Aug-2022 01:30:00,5.63,7.42,13972
01-Aug-2022 01:35:00,3,7.42,13849
01-Aug-2022 01:40:00,0,7.42,13707
01-Aug-2022 01:45:00,0,7.42,13689
01-Aug-2022 01:50:00,0,7.42,13594
01-Aug-2022 01:55:00,0,7.42,13582
01-Aug-2022 02:00:00,7.33,7.42,13572
01-Aug-2022 02:05:00,14.32,7.42,13535
01-Aug-2022 02:10:00,6.18,7.42,13518
01-Aug-2022 02:15:00,6.02,7.42,13430
01-Aug-2022 02:20:00,6.02,7.42,13363
01-Aug-2022 02:25:00,5.88,7.42,13273
01-Aug-2022 02:30:00,5.63,7.42,13373
01-Aug-2022 02:35:00,5.63,7.42,13342
01-Aug-2022 02:40:00,5.26,7.42,13328
01-Aug-2022 02:45:00,5.26,7.42,13259
01-Aug-2022 02:50:00,0,7.42,13013
01-Aug-2022 02:55:00,0,7.42,12960
01-Aug-2022 03:00:00,14.32,7.42,12907
01-Aug-2022 03:05:00,14.32,7.42,12957
01-Aug-2022 03:10:00,7.24,7.42,12941
01-Aug-2022 03:15:00,14.31,7.42,12891
01-Aug-2022 03:20:00,14.31,7.42,12932
01-Aug-2022 03:25:00,14,7.42,12815
01-Aug-2022 03:30:00,6.2,7.42,12817
01-Aug-2022 03:35:00,6.02,7.42,12746
01-Aug-2022 03:40:00,5.98,7.42,12733
01-Aug-2022 03:45:00,5.98,7.42,12707
01-Aug-2022 03:50:00,5.88,7.42,12697
01-Aug-2022 03:55:00,5.64,7.42,12739
01-Aug-2022 04:00:00,14.34,7.42,12670
01-Aug-2022 04:05:00,14.34,7.42,12690
01-Aug-2022 04:10:00,14.33,7.42,12749
01-Aug-2022 04:15:00,14.33,7.42,12718
01-Aug-2022 04:20:00,14.32,7.42,12704
01-Aug-2022 04:25:00,14.31,7.42,12621
01-Aug-2022 04:30:00,14.33,7.42,12601
01-Aug-2022 04:35:00,14.33,7.42,12562
01-Aug-2022 04:40:00,14.32,7.42,12528
01-Aug-2022 04:45:00,14.32,7.42,12705
01-Aug-2022 04:50:00,14.33,7.42,12667
01-Aug-2022 04:55:00,14.33,7.42,12765
01-Aug-2022 05:00:00,14.34,7.42,12913
01-Aug-2022 05:05:00,14.34,7.42,12954
01-Aug-2022 05:10:00,14.35,7.42,12948
01-Aug-2022 05:15:00,14.36,7.42,12941
01-Aug-2022 05:20:00,14.36,7.42,13000
01-Aug-2022 05:25:00,14.36,7.42,12994
01-Aug-2022 05:30:00,14.37,7.42,13055
01-Aug-2022 05:35:00,14.38,7.42,13052
01-Aug-2022 05:40:00,14.37,7.42,13052
01-Aug-2022 05:45:00,14.37,7.42,13058
01-Aug-2022 05:50:00,14.38,7.42,13034
01-Aug-2022 05:55:00,14.37,7.42,13043
01-Aug-2022 06:00:00,6.2,7.42,13117
01-Aug-2022 06:05:00,7.15,7.42,13137
01-Aug-2022 06:10:00,6.18,7.42,13211
01-Aug-2022 06:15:00,6.2,7.42,13232
01-Aug-2022 06:20:00,6.02,7.42,12961
01-Aug-2022 06:25:00,6.02,7.42,12839
01-Aug-2022 06:30:00,14.31,7.42,12837
01-Aug-2022 06:35:00,14.33,7.42,12809
01-Aug-2022 06:40:00,14.32,7.42,12730
01-Aug-2022 06:45:00,14.34,7.42,12751
01-Aug-2022 06:50:00,14.35,7.42,12767
01-Aug-2022 06:55:00,14.36,7.42,12974
01-Aug-2022 07:00:00,5.92,7.42,13038
01-Aug-2022 07:05:00,6.01,7.42,13142
01-Aug-2022 07:10:00,6.04,7.42,13215
01-Aug-2022 07:15:00,14.31,7.42,13569
01-Aug-2022 07:20:00,14.32,7.42,13618
01-Aug-2022 07:25:00,14.33,7.42,13646
01-Aug-2022 07:30:00,14.37,7.42,13607
01-Aug-2022 07:35:00,14.39,7.42,13753
01-Aug-2022 07:40:00,14.4,7.42,13902
01-Aug-2022 07:45:00,75.2,7.42,13955
01-Aug-2022 07:50:00,97.43,7.42,13999
01-Aug-2022 07:55:00,97.38,7.42,14049
01-Aug-2022 08:00:00,14.31,7.42,14195
01-Aug-2022 08:05:00,14.33,7.42,14314
01-Aug-2022 08:10:00,14.34,7.42,14460
01-Aug-2022 08:15:00,14.36,7.42,14562
01-Aug-2022 08:20:00,14.36,7.42,14638
01-Aug-2022 08:25:00,14.38,7.42,14737
01-Aug-2022 08:30:00,14.39,7.42,14781
01-Aug-2022 08:35:00,14.4,7.42,14861
01-Aug-2022 08:40:00,14.4,7.42,14916
01-Aug-2022 08:45:00,75.2,7.42,15024
01-Aug-2022 08:50:00,75.2,7.42,15152
01-Aug-2022 08:55:00,77.43,7.42,15284
01-Aug-2022 09:00:00,14.36,7.42,15352
