date,P,G,L
01-May-2022 00:00:00,41.2,6.02,66621
01-May-2022 00:05:00,42.41,6.02,66326
01-May-2022 00:10:00,41.24,6.02,66221
01-May-2022 00:15:00,41.35,6.02,65927
01-May-2022 00:20:00,41.08,6.02,65828
01-May-2022 00:25:00,40.46,6.02,65554
01-May-2022 00:30:00,40.13,6.02,65317
01-May-2022 00:35:00,39.8,6.02,65190
01-May-2022 00:40:00,39.92,6.02,64805
01-May-2022 00:45:00,36.75,6.02,64553
01-May-2022 00:50:00,39.58,6.02,64096
01-May-2022 00:55:00,42.28,6.02,63961
01-May-2022 01:00:00,43.69,6.02,63850
01-May-2022 01:05:00,43.14,6.02,63795
01-May-2022 01:10:00,46.61,6.02,63588
01-May-2022 01:15:00,47.77,6.02,63737
01-May-2022 01:20:00,46.56,6.02,63618
01-May-2022 01:25:00,46.83,6.02,63463
01-May-2022 01:30:00,46.16,6.02,63029
01-May-2022 01:35:00,46.73,6.02,63235
01-May-2022 01:40:00,46.25,6.02,62970
01-May-2022 01:45:00,46.11,6.02,62830
01-May-2022 01:50:00,46.32,6.02,62583
01-May-2022 01:55:00,44.8,6.02,62729
01-May-2022 02:00:00,44.26,6.02,62540
01-May-2022 02:05:00,42.5,6.02,62374
01-May-2022 02:10:00,47.27,6.02,62098
01-May-2022 02:15:00,42.97,6.02,62287
01-May-2022 02:20:00,45.15,6.02,62370
01-May-2022 02:25:00,45.38,6.02,62039
01-May-2022 02:30:00,45.3,6.02,62066
01-May-2022 02:35:00,45.23,6.02,62125
01-May-2022 02:40:00,45,6.02,62168
01-May-2022 02:45:00,46.19,6.02,62039
01-May-2022 02:50:00,44.73,6.02,61981
01-May-2022 02:55:00,47.34,6.02,61827
01-May-2022 03:00:00,47.01,6.02,61723
01-May-2022 03:05:00,46.76,6.02,61807
01-May-2022 03:10:00,47.96,6.02,61758
01-May-2022 03:15:00,44.07,6.02,61743
01-May-2022 03:20:00,45.72,6.02,61527
01-May-2022 03:25:00,45.59,6.02,61651
