date,rt_lmp,gas,load_rt
01-Jan-2022 00:00:00,30.58,3.54,14921
01-Jan-2022 00:05:00,31.83,3.54,14859
01-Jan-2022 00:10:00,31.94,3.54,14740
01-Jan-2022 00:15:00,31.71,3.54,14738
01-Jan-2022 00:20:00,30.82,3.54,14654
01-Jan-2022 00:25:00,30.59,3.54,14550
01-Jan-2022 00:30:00,28.69,3.54,14500
01-Jan-2022 00:35:00,27.18,3.54,14476
01-Jan-2022 00:40:00,27.18,3.54,14426
01-Jan-2022 00:45:00,27.18,3.54,14374
01-Jan-2022 00:50:00,27.01,3.54,14355
01-Jan-2022 00:55:00,22.51,3.54,14305
01-Jan-2022 01:00:00,22.5,3.54,14319
01-Jan-2022 01:05:00,27.48,3.54,14159
01-Jan-2022 01:10:00,27.01,3.54,14155
01-Jan-2022 01:15:00,27.01,3.54,14070
01-Jan-2022 01:20:00,26.77,3.54,14021
01-Jan-2022 01:25:00,26.77,3.54,14020
01-Jan-2022 01:30:00,21.62,3.54,13991
01-Jan-2022 01:35:00,22.48,3.54,13915
01-Jan-2022 01:40:00,22.48,3.54,13890
01-Jan-2022 01:45:00,22.5,3.54,13803
01-Jan-2022 01:50:00,22.53,3.54,13826
01-Jan-2022 01:55:00,21.89,3.54,13786
01-Jan-2022 02:00:00,27.08,3.54,13732
01-Jan-2022 02:05:00,28.57,3.54,13689
01-Jan-2022 02:10:00,27.55,3.54,13637
01-Jan-2022 02:15:00,27.54,3.54,13630
01-Jan-2022 02:20:00,27.09,3.54,13583
01-Jan-2022 02:25:00,27.5,3.54,13529
01-Jan-2022 02:30:00,27,3.54,13456
01-Jan-2022 02:35:00,27,3.54,13467
01-Jan-2022 02:40:00,26.77,3.54,13459
01-Jan-2022 02:45:00,26.85,3.54,13415
01-Jan-2022 02:50:00,22.51,3.54,13386
01-Jan-2022 02:55:00,26.85,3.54,13348
01-Jan-2022 03:00:00,22.53,3.54,13294
01-Jan-2022 03:05:00,22.51,3.54,13364
01-Jan-2022 03:10:00,22.51,3.54,13251
01-Jan-2022 03:15:00,21.89,3.54,13291
01-Jan-2022 03:20:00,21.41,3.54,13273
01-Jan-2022 03:25:00,22.47,3.54,13236
01-Jan-2022 03:30:00,22.48,3.54,13218
01-Jan-2022 03:35:00,22.5,3.54,13208
01-Jan-2022 03:40:00,22.51,3.54,13195
01-Jan-2022 03:45:00,22.5,3.54,13113
01-Jan-2022 03:50:00,21.61,3.54,13157
01-Jan-2022 03:55:00,21.39,3.54,13132
01-Jan-2022 04:00:00,23.12,3.54,13123
01-Jan-2022 04:05:00,27.15,3.54,13133
01-Jan-2022 04:10:00,27.15,3.54,13122
01-Jan-2022 04:15:00,27.15,3.54,13112
01-Jan-2022 04:20:00,27.55,3.54,13063
01-Jan-2022 04:25:00,28.56,3.54,13084
01-Jan-2022 04:30:00,26.96,3.54,13094
01-Jan-2022 04:35:00,26.99,3.54,13087
01-Jan-2022 04:40:00,25.6,3.54,13080
01-Jan-2022 04:45:00,26.98,3.54,13099
01-Jan-2022 04:50:00,26.96,3.54,13091
01-Jan-2022 04:55:00,26.98,3.54,13122
01-Jan-2022 05:00:00,27.15,3.54,13106
01-Jan-2022 05:05:00,27.15,3.54,13073
01-Jan-2022 05:10:00,27.1,3.54,13124
01-Jan-2022 05:15:00,27.53,3.54,13168
01-Jan-2022 05:20:00,27.05,3.54,13141
01-Jan-2022 05:25:00,29.28,3.54,13135
01-Jan-2022 05:30:00,28.56,3.54,13178
01-Jan-2022 05:35:00,27.15,3.54,13165
01-Jan-2022 05:40:00,27.15,3.54,13231
01-Jan-2022 05:45:00,27.55,3.54,13178
01-Jan-2022 05:50:00,28.66,3.54,13206
01-Jan-2022 05:55:00,28.66,3.54,13256
01-Jan-2022 06:00:00,27.03,3.54,13310
01-Jan-2022 06:05:00,27.06,3.54,13366
01-Jan-2022 06:10:00,26.88,3.54,13429
01-Jan-2022 06:15:00,26.88,3.54,13453
01-Jan-2022 06:20:00,27.06,3.54,13387
01-Jan-2022 06:25:00,27.05,3.54,13443
01-Jan-2022 06:30:00,27.08,3.54,13473
01-Jan-2022 06:35:00,27.52,3.54,13460
01-Jan-2022 06:40:00,27.64,3.54,13525
01-Jan-2022 06:45:00,28.66,3.54,13566
01-Jan-2022 06:50:00,28.66,3.54,13561
01-Jan-2022 06:55:00,28.66,3.54,13586
01-Jan-2022 07:00:00,26.91,3.54,13622
01-Jan-2022 07:05:00,26.96,3.54,13640
01-Jan-2022 07:10:00,26.93,3.54,13746
01-Jan-2022 07:15:00,26.88,3.54,13754
01-Jan-2022 07:20:00,26.88,3.54,13736
01-Jan-2022 07:25:00,22.51,3.54,13776
01-Jan-2022 07:30:00,23.79,3.54,13814
01-Jan-2022 07:35:00,21.63,3.54,13889
01-Jan-2022 07:40:00,21.9,3.54,13869
01-Jan-2022 07:45:00,21.9,3.54,13804
01-Jan-2022 07:50:00,26.96,3.54,13855
01-Jan-2022 07:55:00,26.96,3.54,13911
01-Jan-2022 08:00:00,17.45,3.54,13916
01-Jan-2022 08:05:00,17.44,3.54,13971
01-Jan-2022 08:10:00,15.95,3.54,14044
01-Jan-2022 08:15:00,16.35,3.54,14092
01-Jan-2022 08:20:00,16.32,3.54,14079
01-Jan-2022 08:25:00,16.92,3.54,14077
01-Jan-2022 08:30:00,16.95,3.54,14189
01-Jan-2022 08:35:00,17.37,3.54,14242
01-Jan-2022 08:40:00,16.87,3.54,14242
01-Jan-2022 08:45:00,17.89,3.54,14346
01-Jan-2022 08:50:00,19.98,3.54,14328
01-Jan-2022 08:55:00,21.38,3.54,14348
01-Jan-2022 09:00:00,16.92,3.54,14331
01-Jan-2022 09:05:00,15.81,3.54,14419
01-Jan-2022 09:10:00,15.81,3.54,14528
01-Jan-2022 09:15:00,16.38,3.54,14571
01-Jan-2022 09:20:00,16.87,3.54,14574
01-Jan-2022 09:25:00,18.59,3.54,14680
01-Jan-2022 09:30:00,19.95,3.54,14740
01-Jan-2022 09:35:00,21.1,3.54,14767
01-Jan-2022 09:40:00,21.38,3.54,14853
01-Jan-2022 09:45:00,22.51,3.54,14861
01-Jan-2022 09:50:00,23.9,3.54,14897
01-Jan-2022 09:55:00,25.96,3.54,14983
01-Jan-2022 10:00:00,26.39,3.54,14988
01-Jan-2022 10:05:00,27.72,3.54,15037
01-Jan-2022 10:10:00,28.76,3.54,15136
01-Jan-2022 10:15:00,28.42,3.54,15168
01-Jan-2022 10:20:00,29.21,3.54,15248
01-Jan-2022 10:25:00,29.47,3.54,15217
01-Jan-2022 10:30:00,29.56,3.54,15337
01-Jan-2022 10:35:00,29.57,3.54,15339
01-Jan-2022 10:40:00,29.88,3.54,15317
01-Jan-2022 10:45:00,31.2,3.54,15478
01-Jan-2022 10:50:00,31.56,3.54,15509
01-Jan-2022 10:55:00,32.09,3.54,15516
01-Jan-2022 11:00:00,31.23,3.54,15579
01-Jan-2022 11:05:00,30.19,3.54,15540
01-Jan-2022 11:10:00,31.23,3.54,15599
01-Jan-2022 11:15:00,30.99,3.54,15649
01-Jan-2022 11:20:00,30.06,3.54,15631
01-Jan-2022 11:25:00,30.22,3.54,15652
01-Jan-2022 11:30:00,30.95,3.54,15751
01-Jan-2022 11:35:00,30.99,3.54,15765
01-Jan-2022 11:40:00,31.2,3.54,15755
01-Jan-2022 11:45:00,31.56,3.54,15772
01-Jan-2022 11:50:00,31.56,3.54,15759
01-Jan-2022 11:55:00,32.13,3.54,15834
01-Jan-2022 12:00:00,30.22,3.54,15815
01-Jan-2022 12:05:00,30.06,3.54,15885
01-Jan-2022 12:10:00,30.2,3.54,15970
01-Jan-2022 12:15:00,30.22,3.54,15970
01-Jan-2022 12:20:00,31.23,3.54,15932
01-Jan-2022 12:25:00,32.06,3.54,15939
01-Jan-2022 12:30:00,32.09,3.54,15986
01-Jan-2022 12:35:00,32.09,3.54,16046
01-Jan-2022 12:40:00,32.12,3.54,16034
01-Jan-2022 12:45:00,32.36,3.54,16008
01-Jan-2022 12:50:00,32.59,3.54,16096
01-Jan-2022 12:55:00,32.56,3.54,16076
01-Jan-2022 13:00:00,33.52,3.54,16089
01-Jan-2022 13:05:00,33.52,3.54,16070
01-Jan-2022 13:10:00,33.56,3.54,16086
01-Jan-2022 13:15:00,33.59,3.54,16099
01-Jan-2022 13:20:00,33.59,3.54,16114
01-Jan-2022 13:25:00,33.77,3.54,16133
01-Jan-2022 13:30:00,34.39,3.54,16116
01-Jan-2022 13:35:00,35.63,3.54,16133
01-Jan-2022 13:40:00,35.74,3.54,16115
01-Jan-2022 13:45:00,34.39,3.54,16142
01-Jan-2022 13:50:00,33.55,3.54,16051
01-Jan-2022 13:55:00,33.42,3.54,16093
01-Jan-2022 14:00:00,30.77,3.54,16075
01-Jan-2022 14:05:00,32.2,3.54,16079
01-Jan-2022 14:10:00,33.09,3.54,16092
01-Jan-2022 14:15:00,32.3,3.54,16049
01-Jan-2022 14:20:00,32.21,3.54,16052
01-Jan-2022 14:25:00,32.24,3.54,16084
01-Jan-2022 14:30:00,32.29,3.54,16061
01-Jan-2022 14:35:00,32.39,3.54,16041
01-Jan-2022 14:40:00,33.06,3.54,16044
01-Jan-2022 14:45:00,33.09,3.54,16009
01-Jan-2022 14:50:00,32.25,3.54,16039
01-Jan-2022 14:55:00,32.32,3.54,16013
01-Jan-2022 15:00:00,31.23,3.54,16088
01-Jan-2022 15:05:00,30.06,3.54,16113
01-Jan-2022 15:10:00,30.06,3.54,16152
01-Jan-2022 15:15:00,30.17,3.54,16146
01-Jan-2022 15:20:00,30.19,3.54,16163
01-Jan-2022 15:25:00,31.06,3.54,16205
01-Jan-2022 15:30:00,31.2,3.54,16191
01-Jan-2022 15:35:00,30.17,3.54,16176
01-Jan-2022 15:40:00,30.17,3.54,16295
01-Jan-2022 15:45:00,30.06,3.54,16278
01-Jan-2022 15:50:00,30.06,3.54,16275
01-Jan-2022 15:55:00,30.06,3.54,16318
01-Jan-2022 16:00:00,28.5,3.54,16335
01-Jan-2022 16:05:00,29.84,3.54,16393
01-Jan-2022 16:10:00,29.84,3.54,16509
01-Jan-2022 16:15:00,29.77,3.54,16568
01-Jan-2022 16:20:00,30.06,3.54,16545
01-Jan-2022 16:25:00,30.22,3.54,16661
01-Jan-2022 16:30:00,30.85,3.54,16783
01-Jan-2022 16:35:00,32.06,3.54,16847
01-Jan-2022 16:40:00,32.17,3.54,16912
01-Jan-2022 16:45:00,33.09,3.54,17020
01-Jan-2022 16:50:00,33.24,3.54,17128
